track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
1RMJOxR6GRPsBHL8qeC2ux,"Daniel Caesar, H.E.R.",Freudian,Best Part (feat. H.E.R.),84,209831,False,0.524,0.364,7,-10.209,1,0.0367,0.808,0.0,0.1,0.436,75.24,4,R&B/Soul
3DarAbFujv6eYNliUTyqtz,"Doja Cat, SZA",Planet Her,Kiss Me More (feat. SZA),80,208666,True,0.764,0.705,8,-3.463,1,0.0284,0.259,8.92e-05,0.12,0.781,110.97,4,R&B/Soul
6NjWCIYu1W8xa3HIvcIhd4,Tinashe,Nasty,Nasty,74,176027,False,0.931,0.411,8,-8.433,1,0.0711,0.165,5.26e-06,0.134,0.515,100.002,4,R&B/Soul
47hsUYxvbTlBAN3sP9dEOd,Tems,Love Me JeJe,Love Me JeJe,67,178041,False,0.838,0.537,11,-10.28,1,0.119,0.156,0.446,0.107,0.56,103.95,4,R&B/Soul
0WIv5qV41y6YjjB9V1biuC,Muni Long,Made For Me,Made For Me,70,188000,False,0.796,0.468,7,-6.375,0,0.0324,0.122,0.0,0.118,0.0677,119.98,4,R&B/Soul
22I3h5AOENlH4CqXJsEbFR,"Justine Skye, Tyga",Collide (feat. Tyga),Collide (feat. Tyga),69,260169,True,0.418,0.31,11,-9.869,0,0.0625,0.095,0.0,0.216,0.131,139.614,4,R&B/Soul
35sZOqVnTQNIGWGURrFdLh,PARTYNEXTDOOR,Dreamin,Dreamin,75,147146,True,0.746,0.629,9,-6.463,1,0.0454,0.218,0.000293,0.112,0.163,114.727,4,R&B/Soul
0l0UDr9M10FQAMkq8jcIf8,Majid Jordan,Good People,Eyes Closed,47,272836,False,0.718,0.519,1,-8.3,1,0.0569,0.367,0.00277,0.072,0.661,89.984,4,R&B/Soul
5YABYtKx9qa56vBjlXDbmw,"SZA, Justin Bieber",Snooze (Acoustic) (feat. Justin Bieber),Snooze (Acoustic) (feat. Justin Bieber),67,190464,True,0.462,0.331,9,-8.794,0,0.0432,0.911,0.0,0.15,0.604,141.364,3,R&B/Soul
61Emqg95O9zo1GNOcyxq4Y,Giveon,For Tonight,For Tonight,60,193821,False,0.442,0.517,9,-7.807,1,0.0548,0.0699,0.0,0.114,0.2,79.867,4,R&B/Soul
